B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B11, Trade, 429995.600, 90, B11, S00, 1
B11, Trade, 430012.183, 90, B11, S10, 1
B11, Trade, 430035.850, 90, B11, S05, 1
B11, Trade, 430125.267, 90, B11, S04, 1
B11, Trade, 430135.283, 89, B11, S05, 1
B11, Trade, 430153.100, 90, B11, S06, 1
B11, Trade, 430217.167, 88, B11, S08, 1
B11, Trade, 430320.950, 90, B11, S01, 1
B11, Trade, 430382.700, 90, B11, S03, 1
B11, Trade, 430417.717, 89, B11, S08, 1
B11, Trade, 430519.900, 88, B11, S01, 1
B11, Trade, 430541.600, 90, B11, S05, 1
B11, Trade, 430608.450, 90, B11, S08, 1
B11, Trade, 430656.783, 90, B11, S03, 1
B11, Trade, 430672.467, 90, B11, S09, 1
B11, Trade, 430712.417, 90, B11, S01, 1
B11, Trade, 430738.017, 90, B11, S05, 1
B11, Trade, 430790.217, 90, B11, S03, 1
B11, Trade, 430796.600, 89, B11, S09, 1
B11, Trade, 430810.700, 90, B11, S01, 1
B11, Trade, 430842.800, 90, B11, S00, 1
B11, Trade, 430875.450, 90, B11, S00, 1
B11, Trade, 430885.450, 90, B11, S00, 1
B11, Trade, 430940.367, 88, B11, S06, 1
B11, Trade, 430969.300, 90, B11, S08, 1
B11, Trade, 430996.333, 88, B11, S06, 1
B11, Trade, 431016.917, 89, B11, S04, 1
B11, Trade, 431097.767, 90, B11, S04, 1
B11, Trade, 431127.967, 90, B11, S04, 1
B11, Trade, 431191.083, 90, B11, S07, 1
B11, Trade, 431218.600, 85, S05, B11, 1
B11, Trade, 431269.983, 90, B11, S05, 1
B11, Trade, 431282.433, 90, B11, S06, 1
B11, Trade, 431303.767, 90, B11, S09, 1
B11, Trade, 431317.533, 90, B11, S05, 1
B11, Trade, 431350.283, 90, B11, S03, 1
B11, Trade, 431365.800, 90, B11, S08, 1
B11, Trade, 431399.867, 90, B11, S03, 1
B11, Trade, 431407.283, 89, B11, S09, 1
B11, Trade, 431411.383, 89, B11, S05, 1
B11, Trade, 431419.917, 90, B11, S01, 1
B11, Trade, 431431.867, 90, B11, S03, 1
B11, Trade, 431447.200, 90, B11, S04, 1
B11, Trade, 431460.550, 90, B11, S05, 1
B11, Trade, 431541.550, 90, B11, S08, 1
B11, Trade, 431610.867, 90, B11, S04, 1
B11, Trade, 431636.950, 90, B11, S09, 1
B11, Trade, 431751.600, 90, B11, S03, 1
B11, Trade, 431776.683, 88, B11, S03, 1
B11, Trade, 431791.567, 89, B11, S01, 1
B11, Trade, 431847.283, 90, B11, S08, 1
B11, Trade, 431897.917, 90, B11, S09, 1
B12, 100
B12, Trade, 426854.417, 90, B12, S03, 1
B12, Trade, 426915.783, 90, B12, S04, 1
B12, Trade, 427017.150, 90, B12, S05, 1
B12, Trade, 427050.350, 90, B12, S05, 1
B12, Trade, 427087.250, 90, B12, S04, 1
B12, Trade, 427117.883, 90, B12, S00, 1
B12, Trade, 427244.350, 90, B12, S02, 1
B12, Trade, 427290.300, 90, B12, S01, 1
B12, Trade, 427301.167, 90, B12, S01, 1
B12, Trade, 427348.450, 90, B12, S04, 1
B12, Trade, 427360.800, 90, B12, S05, 1
B12, Trade, 427378.383, 90, B12, S08, 1
B12, Trade, 427394.567, 90, B12, S04, 1
B12, Trade, 427405.183, 90, B12, S05, 1
B12, Trade, 427426.333, 90, B12, S09, 1
B12, Trade, 427526.250, 88, B12, S04, 1
B12, Trade, 427656.850, 88, B12, S03, 1
B12, Trade, 427720.783, 90, B12, S09, 1
B12, Trade, 427981.167, 90, B12, S01, 1
B12, Trade, 428046.033, 90, B12, S03, 1
B12, Trade, 428116.217, 89, B12, S03, 1
B12, Trade, 428160.433, 90, B12, S05, 1
B12, Trade, 428203.700, 90, B12, S01, 1
B12, Trade, 428248.883, 90, B12, S05, 1
B12, Trade, 428419.450, 90, B12, S09, 1
B12, Trade, 428503.917, 90, B12, S03, 1
B12, Trade, 428506.083, 90, B12, S04, 1
B12, Trade, 428518.133, 90, B12, S09, 1
B12, Trade, 428539.583, 90, B12, S04, 1
B12, Trade, 428641.417, 90, B12, S01, 1
B12, Trade, 428762.817, 90, B12, S05, 1
B12, Trade, 428791.967, 90, B12, S00, 1
B12, Trade, 428835.700, 90, B12, S08, 1
