B04, Trade, 366867.917, 94, B04, S21, 1
B04, Trade, 366875.517, 127, B04, S04, 1
B04, Trade, 366879.233, 101, B04, S12, 1
B04, Trade, 366885.917, 115, B04, S21, 1
B04, Trade, 366887.117, 122, B04, S11, 1
B04, Trade, 366891.700, 98, B04, S17, 1
B04, Trade, 366900.100, 140, B04, S09, 1
B04, Trade, 366906.283, 140, B04, S06, 1
B04, Trade, 366907.950, 101, B04, S19, 1
B04, Trade, 366911.950, 123, B04, S11, 1
B04, Trade, 366919.883, 125, B04, S08, 1
B04, Trade, 366930.133, 140, B04, S19, 1
B04, Trade, 366931.150, 140, B04, S22, 1
B04, Trade, 366937.000, 140, B04, S16, 1
B04, Trade, 366940.967, 140, B04, S25, 1
B04, Trade, 366946.433, 139, B04, S13, 1
B04, Trade, 366954.967, 121, B04, S16, 1
B04, Trade, 366959.967, 129, B04, S18, 1
B04, Trade, 366966.117, 135, B04, S17, 1
B04, Trade, 366975.067, 140, B04, S21, 1
B04, Trade, 366981.250, 94, B04, S25, 1
B04, Trade, 366985.750, 137, S24, B04, 1
B04, Trade, 366990.167, 64, B04, S25, 1
B04, Trade, 366993.167, 87, B04, S08, 1
B04, Trade, 366999.317, 140, B04, S14, 1
B04, Trade, 367006.383, 140, B04, S02, 1
B04, Trade, 367009.417, 110, B04, S19, 1
B04, Trade, 367017.250, 126, B04, S16, 1
B04, Trade, 367018.900, 129, B04, S08, 1
B04, Trade, 367025.083, 96, B04, S06, 1
B04, Trade, 367029.083, 65, B04, S16, 1
B04, Trade, 367033.233, 82, B04, S26, 1
B04, Trade, 367041.033, 138, B04, S11, 1
B04, Trade, 367044.517, 81, B04, S17, 1
B04, Trade, 367048.217, 118, B04, S13, 1
B04, Trade, 367054.267, 140, B04, S17, 1
B04, Trade, 367059.517, 140, B04, S25, 1
B04, Trade, 367068.083, 140, B04, S26, 1
B04, Trade, 367074.600, 140, B04, S19, 1
B04, Trade, 367080.450, 140, B04, S13, 1
B04, Trade, 367091.250, 110, B04, S13, 1
B04, Trade, 367094.133, 123, B04, S09, 1
B04, Trade, 367101.417, 140, B04, S12, 1
B04, Trade, 367104.817, 113, B04, S18, 1
B04, Trade, 367107.967, 140, B04, S02, 1
B04, Trade, 367111.817, 139, B04, S00, 1
B04, Trade, 367117.317, 130, B04, S09, 1
B04, Trade, 367125.917, 140, B04, S14, 1
B04, Trade, 367131.517, 85, B04, S08, 1
B04, Trade, 367136.150, 140, B04, S13, 1
B04, Trade, 367139.267, 111, B04, S18, 1
B04, Trade, 367144.400, 125, B04, S08, 1
B04, Trade, 367151.700, 138, B04, S29, 1
B04, Trade, 367156.067, 108, B04, S18, 1
B04, Trade, 367160.900, 113, B04, S17, 1
B04, Trade, 367165.567, 140, B04, S09, 1
B04, Trade, 367171.450, 122, B04, S21, 1
B04, Trade, 367175.283, 140, B04, S00, 1
B04, Trade, 367181.283, 127, B04, S09, 1
B04, Trade, 367187.067, 131, B04, S16, 1
B04, Trade, 367192.017, 89, B04, S17, 1
B04, Trade, 367196.983, 140, B04, S12, 1
B05, 100
B05, Trade, 366119.883, 69, B05, S09, 1
B05, Trade, 366131.083, 108, B05, S26, 1
B05, Trade, 366142.633, 110, S01, B05, 1
B05, Trade, 366148.367, 111, B05, S06, 1
B05, Trade, 366163.183, 99, B05, S14, 1
B05, Trade, 366170.967, 114, B05, S00, 1
B05, Trade, 366175.433, 126, B05, S06, 1
B05, Trade, 366188.967, 77, B05, S22, 1
B05, Trade, 366194.867, 127, B05, S22, 1
B05, Trade, 366198.100, 117, B05, S17, 1
B05, Trade, 366209.000, 111, B05, S25, 1
B05, Trade, 366211.033, 113, B05, S00, 1
B05, Trade, 366233.017, 127, S01, B05, 1
B05, Trade, 366241.217, 83, S05, B05, 1
B05, Trade, 366249.050, 110, B05, S21, 1
B05, Trade, 366258.433, 110, B05, S02, 1
B05, Trade, 366271.600, 70, B05, S11, 1
B05, Trade, 366286.617, 130, B05, S13, 1
B05, Trade, 366322.433, 104, B05, S22, 1
B05, Trade, 366327.433, 61, S12, B05, 1
B05, Trade, 366344.183, 67, S21, B05, 1
B05, Trade, 366350.700, 134, S05, B05, 1
B05, Trade, 366356.167, 114, B05, S04, 1
B05, Trade, 366361.600, 103, B05, S02, 1
B05, Trade, 366375.000, 108, B05, S17, 1
B05, Trade, 366394.950, 91, B05, S19, 1
B05, Trade, 366401.100, 103, B05, S02, 1
B05, Trade, 366413.533, 102, S24, B05, 1
B05, Trade, 366425.917, 114, B05, S15, 1
B05, Trade, 366431.383, 118, B05, S27, 1
B05, Trade, 366449.283, 124, B05, S02, 1
B05, Trade, 366469.817, 67, B05, S12, 1
B05, Trade, 366477.283, 81, B05, S27, 1
B05, Trade, 366481.833, 121, B05, S20, 1
B05, Trade, 366483.700, 95, B05, S17, 1
B05, Trade, 366495.783, 130, S29, B05, 1
B05, Trade, 366506.233, 113, B05, S06, 1
B05, Trade, 366530.067, 88, B05, S16, 1
B05, Trade, 366538.600, 94, B05, S19, 1
B05, Trade, 366573.083, 80, B05, S14, 1
B05, Trade, 366581.567, 65, S11, B05, 1
B05, Trade, 366589.533, 98, B05, S14, 1
B05, Trade, 366598.400, 127, B05, S16, 1
B05, Trade, 366608.650, 118, B05, S03, 1
B05, Trade, 366614.283, 101, B05, S11, 1
