B04, Trade, 259184.633, 125, B04, S25, 1
B04, Trade, 259189.267, 139, S11, B04, 1
B04, Trade, 259192.550, 120, B04, S05, 1
B05, 100
B05, Trade, 258611.083, 84, B05, S08, 1
B05, Trade, 258621.667, 136, B05, S18, 1
B05, Trade, 258625.917, 121, B05, S05, 1
B05, Trade, 258632.300, 93, B05, S05, 1
B05, Trade, 258636.667, 119, B05, S12, 1
B05, Trade, 258642.000, 95, B05, S01, 1
B05, Trade, 258646.633, 119, B05, S10, 1
B05, Trade, 258652.500, 105, B05, S25, 1
B05, Trade, 258656.217, 108, B05, S12, 1
B05, Trade, 258666.383, 106, B05, S13, 1
B05, Trade, 258669.167, 129, B05, S13, 1
B05, Trade, 258675.633, 129, B05, S05, 1
B05, Trade, 258681.183, 109, B05, S02, 1
B05, Trade, 258688.167, 102, B05, S05, 1
B05, Trade, 258690.117, 108, B05, S25, 1
B05, Trade, 258694.450, 95, B05, S02, 1
B05, Trade, 258701.983, 140, B05, S18, 1
B05, Trade, 258709.333, 124, B05, S01, 1
B05, Trade, 258714.633, 133, B05, S03, 1
B05, Trade, 258719.800, 96, B05, S03, 1
B05, Trade, 258725.900, 111, B05, S16, 1
B05, Trade, 258733.317, 110, B05, S27, 1
B05, Trade, 258736.350, 108, B05, S25, 1
B05, Trade, 258745.717, 135, B05, S05, 1
B05, Trade, 258752.617, 126, B05, S18, 1
B05, Trade, 258757.667, 119, B05, S24, 1
B05, Trade, 258767.833, 85, B05, S01, 1
B05, Trade, 258772.283, 120, B05, S07, 1
B05, Trade, 258779.150, 119, B05, S24, 1
B05, Trade, 258791.567, 130, B05, S20, 1
B05, Trade, 258793.317, 132, B05, S22, 1
B05, Trade, 258797.000, 124, B05, S17, 1
B05, Trade, 258804.550, 112, B05, S01, 1
B05, Trade, 258810.767, 129, B05, S28, 1
B05, Trade, 258817.783, 128, B05, S29, 1
B05, Trade, 258825.667, 114, B05, S06, 1
B05, Trade, 258842.733, 105, B05, S20, 1
B05, Trade, 258846.883, 124, B05, S19, 1
B05, Trade, 258850.783, 137, B05, S11, 1
B05, Trade, 258859.250, 116, B05, S00, 1
B05, Trade, 258861.033, 140, B05, S11, 1
B05, Trade, 258866.033, 112, B05, S21, 1
